_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
1.1913,88.08794378126,32.56110486788,88.08794378126,32.56110486788,,,,,,,0,21.00083,0.025477,21.913544,0.081132,19.955517,0.161933,1.958027
1.1943,88.0561279766156,32.5321744821398,88.056134777,32.53214960214,0.4892,0.3271,1.29,0.379,-5.598,0.234,0,19.322182,0.004018,20.41275,0.091028,18.378494,0.03295,2.034256
1.1955,88.0851402894103,32.562670028493,88.08514982373,32.56264457516,0.6836,0.0267,1.808,0.029,-5.727,0.019,0,14.598783,0.002787,14.923871,0.01174,13.908617,0.011477,1.015254
1.2009,88.0567869981201,32.5313810522786,88.05679539573,32.53135628339,0.5754,0.127,1.593,0.158,-5.573,0.097,0,17.851496,0.003445,18.420156,0.040406,16.99967,0.017817,1.420486
1.2053,88.0979036619102,32.5467122132508,88.09791314181,32.54668762214,0.7079,0.0194,1.798,0.022,-5.533,0.015,0,12.74591,0.002779,12.956336,0.003488,12.336236,0.008826,0.6201
1.2125,88.0935130719058,32.5569307808998,88.09352058603,32.5569262609,0.0596,0.1423,1.425,0.156,-1.017,0.104,0,17.801708,0.003027,18.310371,0.017179,17.133465,0.015424,1.176907
1.2144,88.05472212629,32.55687448644,88.05472212629,32.55687448644,,,,,,,0,20.876772,0.063283,21.147953,0.350037,19.348713,0.165053,1.79924
1.2275,88.0983658015557,32.5463886419723,88.09838179817,32.54636418864,0.5393,0.0793,3.034,0.084,-5.502,0.054,0,14.821981,0.003174,15.05896,0.054188,13.997885,0.025294,1.061075
1.2294,88.0673554821422,32.5253542586086,88.06736405841,32.52532828972,0.692,0.0184,1.627,0.023,-5.843,0.014,0,13.644099,0.00278,13.885387,0.002893,13.249052,0.004279,0.636335
1.2306,88.0983925536263,32.5432304484094,88.09840469038,32.54320648841,0.9517,0.3789,2.302,0.413,-5.391,0.285,0,19.494282,0.004794,20.793734,0.16171,18.477459,0.032074,2.316275
1.2361,88.0675281914529,32.5648540398097,88.06753673458,32.56482899981,0.697,0.018,1.62,0.021,-5.634,0.013,0,11.180383,0.002769,11.806021,0.002876,10.420597,0.003796,1.385424
1.2388,88.0846292970738,32.5636888243652,88.08463902662,32.56366414881,0.7012,0.0182,1.845,0.02,-5.552,0.013,0,11.01924,0.002763,11.661882,0.002877,10.246424,0.00381,1.415459
1.2391,88.0972162766084,32.5520000975051,88.09722690126,32.55197294195,0.6152,0.0856,2.015,0.097,-6.11,0.065,0,16.898546,0.002876,17.480871,0.012855,16.19166,0.008448,1.289211
1.2633,88.0521865494845,32.5550413938352,88.05219604081,32.55501671828,0.7031,0.0479,1.8,0.049,-5.552,0.032,0,15.515871,0.002791,15.943824,0.003889,14.912395,0.004273,1.031428
1.2638,88.0783474414774,32.5242484488185,88.07833700987,32.52423211993,0.6013,0.0915,-1.979,0.107,-3.674,0.065,0,16.951124,0.002864,17.422421,0.012588,16.327751,0.013219,1.094669
1.269,88.0492563320492,32.5424859738522,88.04925773446,32.54246887163,0.2189,0.2741,0.266,0.329,-3.848,0.207,0,19.030884,0.003709,19.766436,0.07151,18.255302,0.027287,1.511133
1.2693,88.0992384137774,32.5457268364039,88.0992497231,32.54570083196,0.6202,0.0246,2.145,0.025,-5.851,0.017,0,13.782363,0.00278,14.060742,0.003038,13.323183,0.004404,0.737559
1.2718,88.0918589784262,32.5600697412672,88.0918713653,32.56005352349,2.3286,2.175,2.349,2.862,-3.649,1.366,0,20.726974,0.016173,21.233906,0.209856,19.41538,0.499813,1.818525
1.2771,88.0493732551,32.54903258459,88.0493732551,32.54903258459,,,,,,,1,13.257633,0.006143,13.107797,0.00306,12.434163,0.003829,0.673634
1.2795,88.0760124531524,32.5238307057875,88.07600467297,32.52373136801,2.893,0.6661,-1.476,0.883,-22.351,0.571,0,19.98184,0.006159,21.108671,0.195692,18.706165,0.069789,2.402506
1.2835,88.05364814183,32.55758802559,88.05364814183,32.55758802559,,,,,,,0,20.85429,0.022794,21.557262,0.20814,19.794752,0.245536,1.76251
1.2867,88.0898580877452,32.5620653234441,88.08996183078,32.56181165682,2.3682,0.3825,19.673,0.401,-57.075,0.269,0,19.456789,0.004537,20.768362,0.247026,18.112076,0.051095,2.656286
1.2883,88.0763011328156,32.5664011589033,88.07629977222,32.56639666557,0.5912,0.076,-0.258,0.093,-1.011,0.062,0,16.810219,0.002879,17.21314,0.011209,16.229319,0.008712,0.983822
1.2926,88.0976544281384,32.5365294306533,88.09765665814,32.53651389732,-0.4966,0.8914,0.423,1.213,-3.495,0.786,0,20.430298,0.008457,21.033302,0.167629,19.551249,0.064643,1.482054
1.2927,88.0486732499292,32.5433510779971,88.04868617754,32.54332606022,0.4374,0.1569,2.452,0.186,-5.629,0.113,0,18.212217,0.003147,19.028492,0.029415,17.356022,0.01386,1.67247
1.2959,88.0997029664593,32.5466954557141,88.09971283652,32.54666989127,0.626,0.0428,1.872,0.055,-5.752,0.037,0,15.767802,0.002831,16.170515,0.007629,15.094159,0.005055,1.076356
1.2988,88.0506526545249,32.5537498168584,88.05066402286,32.55372240797,1.3088,0.707,2.156,0.906,-6.167,0.517,0,19.866846,0.006099,21.082972,0.146431,18.789001,0.046327,2.29397
1.308,88.0904004085698,32.5280659771784,88.09041172094,32.52803944829,0.6744,0.0227,2.146,0.028,-5.969,0.019,0,12.057293,0.002769,12.258389,0.002843,11.708379,0.003802,0.550011
1.3124,88.0586809841215,32.5625815072341,88.0586901282,32.56255710279,0.5902,0.0887,1.734,0.096,-5.491,0.059,0,16.860298,0.002949,17.428488,0.010775,16.141754,0.007364,1.286734
1.3128,88.0730253109574,32.5231642645296,88.0730350203,32.52313998453,0.6239,0.018,1.842,0.023,-5.463,0.015,0,12.971071,0.002781,13.163306,0.002861,12.650611,0.003841,0.512695
1.3188,88.06194619728,32.56441736764,88.06194619728,32.56441736764,,,,,,,0,20.883028,0.018321,21.029259,0.197638,19.798086,0.088627,1.231173
1.3275,88.0692735356673,32.5232766268767,88.06927475329,32.52326304021,0.4828,0.1453,0.231,0.203,-3.057,0.112,0,18.102571,0.003106,18.818394,0.038537,17.408443,0.034348,1.40995
1.3286,88.0999109433272,32.5493699140819,88.09991978552,32.54936857186,-1.4398,1.6866,1.677,1.89,-0.302,1.21,0,20.701643,0.011756,20.830879,0.154321,19.800791,0.14678,1.030088
1.3365,88.0563893849195,32.5285401504084,88.05640028618,32.52851358152,0.7019,0.0222,2.068,0.027,-5.978,0.017,0,14.330935,0.002767,14.699663,0.003271,13.78898,0.0039,0.910684
1.3432,88.0478878527306,32.5483228191884,88.0478985244,32.5482970903,0.6805,0.0207,2.024,0.023,-5.789,0.015,0,12.503816,0.002781,12.658245,0.002888,12.233168,0.003797,0.425077
