_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
1.7331,122.684790379669,-12.8217805506756,122.68482456998,-12.8218039729,0.2397,0.3853,7.501,0.367,-5.27,0.319,0,19.326401,0.003891,20.117699,0.076577,18.468861,0.028488,1.648838
1.7424,122.6800276373611,-12.8144202406687,122.68001835734,-12.81442251178,0.0935,0.0313,-2.036,0.033,-0.511,0.027,0,15.108256,0.002769,15.698153,0.003137,14.380508,0.004086,1.317645
1.7458,122.6734409679746,-12.8587146287078,122.67344417279,-12.85873737093,1.7708,2.0574,0.703,2.321,-5.117,2.56,0,20.783247,0.01014,21.737844,0.334997,19.631413,0.088432,2.106432
1.7673,122.6326766464399,-12.8177342833831,122.63266490952,-12.81772303005,0.3289,0.0537,-2.575,0.055,2.532,0.049,0,16.599573,0.00282,16.911465,0.004131,16.105017,0.005222,0.806448
1.7897,122.6874434025474,-12.8260419042053,122.68743084021,-12.82604274865,0.5231,0.1796,-2.756,0.18,-0.19,0.164,0,18.256046,0.003117,19.093956,0.022333,17.344526,0.011567,1.74943
1.7975,122.6882050583018,-12.8287419686679,122.68818259992,-12.82872999978,0.4109,0.2358,-4.927,0.276,2.693,0.227,0,18.820883,0.003286,19.622622,0.045473,17.948704,0.020767,1.673918
1.8085,122.6770155019198,-12.8101816355687,122.67700567055,-12.81018062668,-0.251,0.4367,-2.157,0.382,0.227,0.41,0,19.699133,0.004423,20.308054,0.064225,19.206251,0.046733,1.101803
1.815,122.6435877734974,-12.8070623510387,122.6435780881,-12.80706354215,0.7651,0.0172,-2.125,0.018,-0.268,0.014,0,11.728838,0.002767,11.806681,0.002847,11.578536,0.0038,0.228145
1.8162,122.6867120702453,-12.8225407813661,122.68669540578,-12.8225340347,0.5844,0.0995,-3.656,0.107,1.518,0.094,0,17.467056,0.002917,17.869616,0.016207,16.901102,0.009472,0.968513
1.8321,122.6538136353602,-12.8641681023248,122.65379331648,-12.86415750677,1.5087,0.8561,-4.457,0.811,2.384,0.829,0,20.356726,0.006466,21.19784,0.151804,19.363646,0.042943,1.834194
1.8376,122.6628181551386,-12.8641479689798,122.66280746915,-12.86414172898,0.9956,0.0727,-2.344,0.077,1.404,0.06,0,16.916153,0.002872,17.576723,0.007786,16.122534,0.005761,1.454189
1.8419,122.6418880331729,-12.807469552851,122.64187955103,-12.80747180174,0.3068,0.4487,-1.861,0.416,-0.506,0.51,0,19.641832,0.004651,19.598848,0.145296,18.456217,0.058874,1.142632
1.8509,122.6895107780676,-12.8323778838488,122.68951792547,-12.83239655496,0.7121,1.2014,1.568,1.195,-4.201,1.237,0,20.568979,0.008811,20.935444,0.096956,20.127485,0.129432,0.807959
1.8566,122.6794843339398,-12.8566111333833,122.6794599584,-12.85661040894,0.5847,0.9513,-5.347,0.777,0.163,0.791,0,20.311813,0.006577,20.905203,0.142277,19.535357,0.051994,1.369846
1.8811,122.6342160709006,-12.8550992094604,122.63419696537,-12.85505837835,-2.0942,1.554,-4.191,1.3,9.187,1.308,0,20.684669,0.009136,21.20236,0.165749,19.518637,0.087939,1.683723
1.8828,122.6886445459134,-12.843243591311,122.68863680104,-12.8432462402,0.5254,0.0359,-1.699,0.036,-0.596,0.03,0,13.86596,0.00279,13.944253,0.003047,13.293399,0.003872,0.650854
1.8884,122.6648432611483,-12.8032014609925,122.66479624781,-12.80313871433,-1.6154,1.6146,-10.315,1.956,14.118,2.575,0,20.786324,0.011097,21.58983,0.187089,19.571989,0.091244,2.017841
1.9,122.6274611328307,-12.8448625745684,122.62744525551,-12.84485120568,0.4093,0.0451,-3.483,0.045,2.558,0.035,0,15.954256,0.002786,16.237673,0.004673,15.509138,0.004735,0.728535
1.9275,122.6803613445923,-12.8574142299699,122.68035615218,-12.85741170997,0.531,0.4233,-1.139,0.372,0.567,0.325,0,19.207287,0.004097,19.975996,0.129529,18.172325,0.014013,1.803671
1.9432,122.6247096336802,-12.8342176353621,122.62470182071,-12.83421313314,2.0544,0.7634,-1.714,0.739,1.013,0.643,0,20.260126,0.006286,20.657396,0.107694,19.764095,0.062105,0.893301
1.9469,122.6804812704585,-12.8100286023832,122.68047382287,-12.81003274905,-0.6825,0.4027,-1.634,0.372,-0.933,0.338,0,19.391506,0.004151,20.169519,0.05965,18.713423,0.045638,1.456097
1.9532,122.6273069699177,-12.8468783519699,122.62729986313,-12.84687347197,0.2564,0.2077,-1.559,0.219,1.098,0.186,0,18.787102,0.003321,19.248867,0.036788,18.26182,0.029643,0.987047
1.9546,122.6493847840244,-12.8653808334387,122.64937427578,-12.86538310455,0.7799,0.0341,-2.305,0.038,-0.511,0.03,0,15.569956,0.002776,15.996042,0.004444,14.969492,0.004227,1.02655
